extractor,samples,features_per_image,array_mebibytes
Xception,342,204800,267.1875
VGG16,342,25088,32.73046875
VGG19,342,25088,32.73046875
ResNet50,342,100352,130.921875
ResNet101,342,100352,130.921875
ResNet152,342,100352,130.921875
ResNet50V2,342,100352,130.921875
ResNet101V2,342,100352,130.921875
ResNet152V2,342,100352,130.921875
InceptionV3,342,131072,171.0
InceptionResNetV2,342,98304,128.25
MobileNet,342,50176,65.4609375
DenseNet121,342,50176,65.4609375
DenseNet169,342,81536,106.3740234375
DenseNet201,342,94080,122.7392578125
NASNetMobile,342,51744,67.506591796875
MobileNetV2,342,62720,81.826171875
EfficientNetB0,342,62720,81.826171875
EfficientNetB1,342,81920,106.875
EfficientNetB2,342,114048,148.7900390625
EfficientNetB3,342,153600,200.390625
EfficientNetB4,342,258048,336.65625
EfficientNetB5,342,460800,601.171875
EfficientNetB6,342,665856,868.693359375
EfficientNetB7,342,924160,1205.68359375
